siteswap,balls,max throw,canonical form,is canonical,date,animate,gif
20111111, 1, 2, 20111111, true, Fri Nov 11 2011, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTExMTExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20111111
20111119, 2, 9, 92011111, false, Sat Nov 19 2011, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTExMTE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20111119
20111120, 1, 2, 20201111, false, Sun Nov 20 2011, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTExMTIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20111120
20111128, 2, 8, 82011112, false, Mon Nov 28 2011, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTExMTI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20111128
20111201, 1, 2, 20120111, false, Thu Dec 01 2011, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTExMjAxIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20111201
20111209, 2, 9, 92011120, false, Fri Dec 09 2011, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTExMjA5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20111209
20111227, 2, 7, 72011122, false, Tue Dec 27 2011, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTExMjI3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20111227
20120111, 1, 2, 20120111, true, Wed Jan 11 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMTExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120111
20120119, 2, 9, 92012011, false, Thu Jan 19 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMTE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120119
20120120, 1, 2, 20201201, false, Fri Jan 20 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMTIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120120
20120128, 2, 8, 82012012, false, Sat Jan 28 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMTI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120128
20120201, 1, 2, 20201201, false, Wed Feb 01 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMjAxIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120201
20120209, 2, 9, 92012020, false, Thu Feb 09 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMjA5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120209
20120227, 2, 7, 72012022, false, Mon Feb 27 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMjI3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120227
20120308, 2, 8, 82012030, false, Thu Mar 08 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMzA4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120308
20120317, 2, 7, 72012031, false, Sat Mar 17 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwMzE3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120317
20120911, 2, 9, 91120120, false, Tue Sep 11 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwOTExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120911
20120919, 3, 9, 92012091, false, Wed Sep 19 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwOTE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120919
20120920, 2, 9, 92020120, false, Thu Sep 20 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwOTIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120920
20120928, 3, 9, 92820120, false, Fri Sep 28 2012, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTIwOTI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20120928
20130226, 2, 6, 62013022, false, Tue Feb 26 2013, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTMwMjI2IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20130226
20130316, 2, 6, 62013031, false, Sat Mar 16 2013, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTMwMzE2IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20130316
20130811, 2, 8, 81120130, false, Sun Aug 11 2013, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjIwMTMwODExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?20130811
